HD Video Filename,Stream Filename,Stream Created (GMT+3) ,Stream Created (UTC),Stream Created (Unix),HD Video (sec),Stream (sec),Notes
ocr_hd_01.MP4,ocr_sd_01.mp4,10/20/2018 11:12,10/20/2018 8:12,1540023133,1,52,
ocr_hd_02.MP4,ocr_sd_02.mp4,10/20/2018 11:18,10/20/2018 8:18,1540023500,1,4,
